HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,ShoppingMall,Spa
0,0,2,21,0,128,20,628
2,0,2,38,0,1030,197,3
2,0,2,50,0,0,0,0
0,0,1,32,0,1,858,0
1,1,0,33,0,0,0,0
1,0,2,30,0,0,67,1
0,1,2,28,0,0,0,0
2,1,2,22,0,0,0,0
2,1,2,28,0,0,0,0
2,1,0,37,0,0,0,0
2,0,2,59,0,53,2736,0
1,0,2,31,0,0,0,0
0,0,2,25,0,246,541,0
1,0,2,38,0,8,0,7668
1,1,0,37,0,0,0,0
1,1,0,44,0,0,0,0
1,1,2,28,0,0,0,0
1,0,2,45,0,0,0,0
2,1,0,53,0,0,0,0
0,0,0,21,0,0,687,0
2,1,2,33,0,0,0,0
2,1,2,18,0,0,0,0
0,0,1,37,0,219,1022,15
2,0,2,34,0,648,371,38
0,1,2,46,0,0,0,0
1,1,0,18,0,0,0,0
1,0,2,19,0,1,63,163
0,1,2,4,0,0,0,0
0,1,2,0,0,0,0,0
0,1,2,12,0,0,0,0
0,0,2,7,0,0,0,0
0,0,2,34,0,1729,0,303
0,0,2,10,0,0,0,0
0,0,0,0,0,219,0,0
0,1,1,14,0,0,0,0
2,1,2,27,0,0,0,0
0,0,2,21,0,15,18,486
1,0,0,37,0,4105,1,118
0,1,2,29,0,0,0,0
0,0,2,17,0,441,131,315
0,1,2,17,0,0,0,0
1,0,2,35,0,0,672,238
0,1,2,34,0,0,0,0
1,0,2,17,0,760,0,16
1,0,0,39,0,0,0,1121
1,1,0,56,0,0,0,0
1,0,0,35,0,3424,0,442
1,1,2,17,0,0,0,0
0,0,1,29,0,0,288,395
2,0,2,15,0,4922,2427,0
2,0,2,37,0,1063,99,2
1,1,2,36,0,0,0,0
0,1,2,36,0,0,0,0
1,0,2,18,0,4,0,10
2,0,2,61,0,2221,0,1
2,1,2,45,0,0,0,0
2,1,2,21,0,0,0,0
0,0,2,65,0,0,0,0
2,0,2,27,0,286,1023,0
2,1,2,13,0,0,0,0
2,0,2,32,0,2543,55,0
0,1,2,17,0,0,0,0
0,0,2,44,0,0,0,0
0,1,2,21,0,0,0,0
0,0,2,16,0,0,0,2488
0,0,2,41,0,0,0,0
0,1,2,40,0,0,0,0
0,0,2,16,0,0,0,0
0,0,2,17,0,0,673,0
0,0,2,40,0,5,3,447
0,1,1,37,0,0,0,0
1,1,2,53,0,0,0,0
1,1,2,42,0,0,0,0
0,0,2,31,0,0,177,1154
2,0,2,18,0,1644,158,0
2,0,2,51,1,755,284,102
2,0,2,20,0,0,1281,8
2,0,0,19,0,0,1435,15
0,0,2,22,0,499,174,61
1,0,0,41,0,0,11,10243
1,0,2,28,0,0,1469,0
2,1,0,0,0,0,0,0
2,1,2,42,0,0,0,0
2,1,0,20,0,0,0,0
1,1,0,25,0,0,0,0
1,1,2,22,0,0,0,0
1,0,2,25,1,30,0,0
2,0,2,45,0,0,1057,0
0,0,2,19,0,0,0,532
0,0,1,16,0,72,1456,303
0,1,2,18,0,0,0,0
1,1,2,38,0,0,0,0
1,1,0,27,0,0,0,0
2,0,0,36,0,748,222,0
2,0,2,21,0,1045,1110,333
0,0,2,1,0,0,0,0
1,1,2,25,0,0,0,0
0,1,1,3,0,0,0,0
0,0,2,7,0,0,0,0
0,0,2,0,0,0,0,0
0,0,2,32,0,632,0,2
0,0,0,5,0,0,0,0
0,0,2,79,0,0,881,7
0,0,2,19,0,0,691,0
0,1,2,30,0,0,0,0
0,0,2,13,0,1,0,0
2,0,2,53,0,596,1608,505
2,0,2,40,0,710,264,0
2,0,2,32,0,1279,20,0
0,1,0,31,0,0,0,0
0,0,2,63,0,13,0,170
2,0,2,18,0,219,54,0
0,1,2,21,0,0,0,0
0,0,2,14,0,9,1790,8
0,1,1,41,0,0,0,0
0,1,0,40,0,0,0,0
0,0,2,58,0,0,46,755
0,0,2,22,0,0,221,5
0,1,0,13,0,0,0,0
1,1,2,16,0,0,0,0
1,1,0,13,0,0,0,0
2,0,2,15,0,1344,1020,0
2,0,2,42,0,466,583,0
1,1,2,24,0,0,0,0
1,0,0,19,0,0,1,874
1,1,2,28,0,0,0,0
1,1,2,29,0,0,0,0
1,0,2,15,0,0,0,2
1,0,2,38,0,1,1604,66
1,1,0,49,0,0,0,0
2,1,2,20,0,0,0,0
2,0,2,28,0,0,0,0
2,0,2,19,0,1661,350,336
0,0,2,46,0,17,659,40
2,0,2,21,0,559,3,0
0,0,0,29,0,0,33,539
0,1,1,28,0,0,0,0
0,0,2,44,0,14,1817,2
0,0,2,19,0,720,7,0
0,0,2,29,0,60,5,0
2,0,2,25,0,266,748,169
0,0,2,41,0,0,0,0
0,0,0,19,0,219,1487,1
2,0,2,33,0,4,892,0
2,1,2,25,0,0,0,0
1,1,0,44,0,219,0,0
0,0,2,21,0,0,0,787
2,0,2,32,0,530,1195,11
2,1,2,33,0,0,0,0
2,0,2,32,0,1705,175,434
2,1,2,19,0,0,0,0
2,1,2,21,0,0,177,0
0,1,2,23,0,0,0,0
1,0,0,31,0,0,1247,0
1,0,2,22,0,3,0,1197
1,1,0,74,0,0,0,0
1,0,2,53,0,472,0,1935
1,1,0,40,0,0,0,0
1,0,0,23,0,0,0,1412
1,1,2,36,0,0,0,0
0,0,2,18,0,178,11,478
1,1,2,29,0,0,0,0
1,0,2,48,0,1,2,3717
2,1,2,34,0,0,0,0
1,0,2,34,0,0,0,0
1,0,0,27,0,0,0,1342
1,0,2,44,0,0,0,0
1,0,2,0,0,0,0,0
1,1,2,1,0,0,0,0
1,1,2,18,0,0,0,0
1,0,2,23,0,0,1,386
1,0,2,26,0,0,3,621
1,1,0,46,0,0,0,0
1,1,2,41,0,0,0,0
1,0,0,25,0,0,20,1663
2,1,2,50,0,0,0,303
0,0,2,28,0,2,0,0
0,1,1,17,0,0,0,0
1,0,0,29,1,149,0,7402
2,1,2,19,0,0,0,0
0,0,0,34,0,0,0,0
1,1,0,28,0,0,0,0
2,0,2,47,0,3682,177,83
2,0,2,28,0,830,278,3
2,1,2,38,0,0,0,0
2,0,2,22,1,2227,47,303
2,0,0,18,0,0,0,0
1,0,2,21,0,0,0,1678
1,0,2,40,0,0,0,0
1,1,0,67,0,0,0,0
0,0,1,39,0,182,35,23
0,1,1,19,0,0,0,0
1,1,2,28,0,0,0,0
1,0,0,29,0,0,377,3858
2,1,2,22,0,0,0,0
2,0,2,23,0,2577,0,0
0,0,1,41,0,0,80,2393
2,1,2,25,0,0,0,0
0,1,1,43,0,0,0,0
2,1,2,54,0,0,0,0
0,0,2,14,0,698,0,1
1,1,2,69,0,0,0,0
0,1,1,24,0,0,0,0
1,0,2,37,0,0,0,0
0,0,2,28,0,869,2,0
1,0,0,59,0,0,529,21
2,0,2,20,0,2024,269,13
2,1,2,23,0,0,0,0
0,0,2,59,0,0,0,0
0,1,2,20,0,0,0,0
2,0,2,36,0,3160,12,0
2,1,2,43,0,0,0,0
2,1,2,9,0,0,0,0
2,1,2,32,0,0,0,0
0,0,2,24,0,780,0,2
2,1,1,14,0,0,0,0
2,1,2,45,0,0,0,0
0,0,2,23,0,299,299,0
0,0,2,59,0,0,0,7
0,0,2,28,0,0,762,0
2,0,2,61,0,1399,693,0
2,1,2,52,0,0,0,0
2,1,2,5,0,0,0,0
1,0,2,51,0,0,0,22
1,0,2,26,0,61,59,2217
2,0,2,44,0,589,235,20
2,0,2,46,0,1246,3767,1
2,0,2,32,0,176,2851,0
1,1,2,17,0,0,0,0
1,1,0,21,0,0,0,0
1,1,0,52,0,0,177,0
1,1,0,52,0,0,0,0
0,0,2,14,0,0,0,241
0,0,2,21,0,0,644,303
1,1,0,42,0,0,0,0
1,1,2,28,0,0,0,0
0,1,1,26,0,0,0,0
0,1,2,7,0,0,0,0
2,0,2,14,0,1793,300,0
2,1,2,3,0,0,0,0
2,1,2,26,0,0,0,0
1,0,0,54,0,0,0,2673
0,0,2,55,0,0,512,365
2,0,2,16,0,9,1162,2
1,0,2,38,0,0,0,3243
0,0,2,48,0,411,31,5
0,0,0,13,0,483,28,375
0,0,2,20,0,0,0,732
2,1,2,18,0,0,0,0
2,1,2,45,0,0,0,0
2,1,2,5,0,0,0,0
2,0,0,42,0,22,697,798
2,0,0,50,0,901,242,160
2,0,2,21,0,590,114,0
0,0,2,22,0,141,0,116
2,1,2,23,0,0,0,0
0,0,1,22,0,0,497,16
0,0,2,21,0,0,0,303
0,0,1,24,0,640,0,0
0,0,2,24,0,9,2572,0
1,1,2,42,0,0,0,0
0,0,2,19,0,1,0,0
0,0,2,32,0,0,0,0
0,0,2,35,0,666,783,0
0,1,1,19,0,0,0,0
0,0,2,55,0,0,52,808
0,0,2,35,0,0,0,370
0,1,2,63,0,0,0,0
1,0,2,66,0,2164,0,6962
1,1,0,45,0,0,0,0
0,0,1,20,0,0,344,0
0,1,1,21,0,0,0,0
0,0,2,51,0,0,0,0
0,0,2,13,0,731,51,0
0,0,2,24,0,826,1,56
2,0,2,28,0,240,0,0
2,1,2,52,0,0,0,0
1,0,0,32,0,0,0,6282
0,0,2,23,0,0,151,256
2,1,2,37,0,0,0,0
0,1,1,35,0,0,0,0
0,1,2,46,0,219,0,0
0,0,2,33,0,553,0,0
1,0,0,34,1,0,39,527
0,0,2,51,0,0,1719,45
0,1,2,28,0,0,177,0
0,0,2,27,0,54,630,0
1,1,0,22,0,0,0,0
1,1,0,33,0,0,0,0
1,1,0,31,0,0,0,0
0,0,2,16,0,0,978,9
0,0,0,6,0,0,0,0
0,0,1,18,0,289,423,150
1,1,0,30,0,0,0,0
0,0,2,24,0,0,656,0
0,1,1,57,0,0,0,0
0,1,2,24,0,0,0,303
0,0,2,23,0,0,177,0
0,0,2,40,0,150,565,60
0,0,0,21,0,699,0,0
0,0,2,17,0,154,540,0
0,1,0,25,0,0,0,0
0,1,2,34,0,0,0,0
0,0,2,18,0,212,38,0
0,0,2,8,0,0,0,0
0,1,1,14,0,0,0,0
0,0,2,16,0,0,0,0
2,0,2,22,0,4,1161,11
1,1,2,21,0,0,0,0
1,0,0,23,0,0,177,188
0,1,0,26,0,0,0,0
2,0,2,18,0,2233,346,0
0,0,2,72,0,0,0,1
2,0,2,18,0,1216,32,41
1,1,0,24,0,0,0,0
2,0,2,36,0,1199,83,0
2,1,2,13,0,0,0,0
0,0,2,19,0,132,294,0
0,0,1,28,0,847,0,77
0,1,0,2,0,0,0,0
0,1,2,5,0,0,0,0
0,0,0,25,0,0,150,562
1,0,2,45,0,0,0,3613
1,1,2,59,0,0,0,0
1,0,2,6,0,0,0,0
1,0,2,36,0,1477,0,484
1,0,2,40,0,0,0,4
2,0,2,36,1,43,352,732
2,1,2,31,0,0,0,0
0,0,1,19,0,0,2329,0
0,1,2,13,0,0,0,0
1,1,2,31,0,0,0,0
0,1,2,22,0,0,0,0
1,0,0,52,0,0,0,1624
0,0,2,22,0,555,181,0
0,1,2,34,0,0,0,0
2,1,2,23,0,0,0,0
1,1,0,14,0,0,0,0
1,1,2,30,0,0,0,0
1,1,0,75,0,0,0,0
1,0,2,28,0,1371,0,303
1,0,0,61,0,26,177,0
1,0,2,25,0,0,12,4584
1,0,0,21,0,411,14,22
1,0,2,28,0,0,177,112
1,0,0,28,1,0,0,1514
1,0,2,41,0,0,0,13
0,1,1,25,0,0,0,0
0,0,0,28,0,0,539,91
2,0,2,0,0,0,0,0
2,0,2,19,0,775,1863,0
2,0,2,22,0,1031,16,1
2,0,2,2,0,0,0,0
0,0,0,35,0,219,783,10
0,0,2,42,0,1030,48,463
2,1,2,46,0,0,0,0
2,1,2,26,0,219,0,0
0,1,1,19,0,0,0,0
0,0,2,11,0,0,0,0
0,1,1,11,0,0,0,0
2,0,2,17,0,26,1094,0
0,0,2,23,0,220,819,47
0,0,2,37,0,219,225,1
2,1,2,18,0,0,0,303
2,0,2,48,0,527,1547,38
0,0,2,18,0,18,1,449
1,1,2,18,0,0,0,0
1,0,2,32,1,3,927,142
1,1,0,26,0,0,0,0
1,1,1,26,0,0,0,0
0,0,0,55,0,0,0,303
0,0,0,19,0,678,0,38
2,0,2,65,0,1710,219,12
2,0,2,28,0,1789,597,0
2,0,2,24,0,770,325,0
1,1,0,52,0,0,0,0
1,0,2,67,0,0,169,221
1,0,2,34,0,0,0,757
2,0,2,23,0,1459,608,0
0,0,2,26,0,0,995,2
0,0,2,28,0,0,260,1149
0,0,2,9,0,0,0,0
0,0,0,1,0,0,0,303
0,1,2,1,0,0,0,0
0,0,2,58,0,0,177,0
1,0,2,59,0,0,0,1824
1,0,2,54,0,48,0,424
1,0,0,8,0,0,0,0
1,1,2,28,0,0,0,0
1,0,0,19,0,0,0,10
1,1,0,23,0,0,0,0
2,1,2,47,0,0,0,0
2,0,2,17,0,219,2936,0
2,1,2,33,0,0,0,0
2,1,2,43,0,0,0,0
1,1,2,28,0,0,0,0
0,0,2,32,0,0,777,1
0,0,2,13,0,539,0,0
2,1,2,18,0,0,0,0
0,1,2,16,0,0,0,0
2,1,2,6,0,0,0,0
0,0,2,27,0,0,0,948
2,1,2,29,0,0,0,0
0,0,0,32,0,0,8,1612
0,0,2,23,0,72,0,910
1,1,2,33,0,0,0,0
1,1,2,51,0,0,0,0
1,0,2,41,0,0,8292,601
1,0,2,20,0,0,0,3
0,0,0,0,0,0,0,0
0,0,0,13,0,501,0,7
0,1,2,13,0,0,0,0
2,0,2,13,0,1363,75,0
2,1,0,24,0,0,0,0
1,0,0,28,0,0,1,131
0,0,0,32,0,1,0,636
0,0,2,24,0,3,4,0
2,0,2,27,0,0,0,0
0,0,2,24,0,673,65,303
2,0,2,34,0,987,54,200
0,0,1,26,0,153,0,0
0,0,2,22,0,0,2438,22
0,0,2,10,0,0,0,0
0,0,2,28,0,124,423,17
0,1,2,5,0,0,0,0
0,1,2,28,0,0,0,0
0,0,2,29,0,219,430,6
0,0,2,17,0,97,7,0
0,0,2,18,0,39,92,0
0,0,1,35,0,9,0,1446
0,0,2,42,0,99,0,0
2,1,0,35,0,0,0,0
1,0,2,42,0,13,0,0
1,0,2,33,0,0,1,1707
0,1,1,20,0,0,0,0
0,1,2,2,0,0,0,0
0,1,2,2,0,0,0,0
2,1,2,43,0,0,0,0
2,1,2,10,0,0,0,0
2,0,2,26,0,2246,332,17
2,0,2,42,0,26,842,430
0,1,2,24,0,0,0,0
2,0,2,32,0,1006,372,126
0,0,2,23,0,0,0,337
1,1,0,28,0,0,0,0
1,1,2,15,0,0,0,0
0,1,2,15,0,0,0,0
0,0,2,28,0,0,1,602
0,1,2,15,0,0,0,303
0,0,0,13,0,0,0,0
1,0,2,33,0,3,0,1908
1,0,2,47,0,0,888,901
1,0,0,27,0,2201,0,251
0,0,1,18,0,34,0,1
0,0,2,10,0,0,0,303
0,1,2,40,0,0,0,0
0,1,0,28,0,0,0,0
2,0,0,23,0,1242,0,19
2,0,2,23,0,0,0,0
2,1,0,41,0,0,0,0
2,0,2,20,0,89,2620,0
2,1,2,29,0,0,0,0
2,1,2,17,0,0,0,0
2,0,2,21,0,23,1247,17
2,1,2,25,0,0,0,0
2,0,2,25,0,807,45,0
0,0,2,28,0,0,177,0
2,1,2,24,0,0,0,0
2,0,2,56,0,936,363,0
0,0,2,36,0,63,0,192
0,0,1,20,0,1018,0,201
0,0,2,50,0,90,10,0
0,1,1,29,0,0,0,0
0,0,2,34,0,10,0,23
0,1,1,40,0,0,0,0
0,0,2,20,0,0,0,0
0,1,2,36,0,0,0,0
0,0,2,25,0,2,830,14
1,1,0,25,1,0,0,0
0,1,1,17,0,0,0,0
1,0,2,42,0,0,23,151
0,1,1,47,0,0,0,0
0,0,2,23,0,212,363,35
2,0,2,28,0,133,1166,0
2,0,2,39,1,2012,1274,0
2,1,2,43,0,0,0,0
0,0,2,23,0,0,0,0
0,0,2,46,0,0,346,6
1,1,0,31,0,0,0,0
1,0,2,37,0,45,213,3183
1,0,0,48,0,58,0,7536
2,0,2,28,0,300,741,0
2,0,2,38,0,473,871,2
2,0,2,31,0,2565,4,0
0,0,2,35,0,18,926,0
0,0,1,28,0,0,0,422
0,0,2,29,0,34,24,485
0,0,2,19,0,0,0,490
0,0,2,28,0,20,0,36
2,0,2,44,0,1042,5,1
0,0,2,59,0,1,0,771
0,0,0,23,0,183,0,0
0,0,1,48,0,2,0,783
0,1,2,49,0,0,0,0
0,0,2,15,0,0,0,0
2,0,2,30,0,799,98,40
2,0,2,20,0,679,1090,50
0,1,2,20,0,0,0,0
0,0,2,6,0,0,0,0
0,1,2,1,0,0,0,0
0,0,2,1,0,0,0,0
0,0,2,2,0,0,0,0
0,1,2,8,0,0,0,0
0,1,1,29,0,0,0,0
0,0,2,43,0,41,0,0
0,0,2,73,0,5,0,568
0,0,2,48,0,0,774,0
0,0,0,24,0,515,0,76
1,0,2,20,0,987,0,0
1,0,2,17,0,1,0,7498
0,1,2,42,0,0,0,0
2,1,2,22,0,0,0,0
0,0,1,54,0,240,629,0
0,1,2,41,0,0,0,0
0,1,1,0,0,0,0,0
0,0,2,20,0,0,165,0
1,0,0,54,0,1,177,522
1,0,0,73,0,22,0,1616
0,0,0,17,0,583,0,0
0,0,2,21,0,0,18,758
0,1,0,60,0,0,0,0
0,1,2,50,0,0,0,0
2,1,2,17,0,0,0,0
2,1,2,18,0,0,0,0
0,0,0,25,0,0,1,601
1,0,0,57,1,1,0,3
1,1,0,46,0,0,0,0
1,1,2,71,0,0,0,0
0,0,2,21,0,3,3,699
2,0,2,38,0,316,36,920
0,0,2,23,0,8,0,671
2,0,2,24,0,16,1277,452
0,1,1,25,0,0,0,0
0,1,1,35,0,0,0,0
0,0,1,21,0,0,610,7
0,0,2,22,0,628,0,0
1,0,0,60,0,0,0,0
1,0,2,29,0,0,216,723
0,0,2,49,0,674,301,0
2,1,2,27,0,219,0,0
0,0,2,23,0,1,2521,0
2,0,2,23,0,1556,31,0
2,0,2,33,0,3303,40,1
0,0,1,35,0,0,0,0
1,0,2,27,0,0,0,0
2,0,2,44,0,1692,52,0
2,0,0,18,0,1106,74,0
0,1,0,31,0,0,0,0
0,0,2,21,0,86,994,535
2,1,2,27,0,0,0,0
0,0,2,36,0,1093,1566,0
0,1,1,33,0,0,0,0
0,0,2,30,0,0,704,0
0,1,2,29,0,0,0,0
1,0,0,32,0,0,0,189
1,1,0,31,0,0,0,0
1,1,2,27,0,0,0,0
1,1,0,25,0,0,0,0
1,1,0,38,0,0,0,0
0,0,2,47,0,0,0,672
0,0,2,24,0,224,585,0
0,1,2,46,0,0,0,0
0,1,2,16,0,0,0,0
0,0,2,30,0,0,378,17
0,0,2,0,0,0,0,303
2,1,2,60,0,0,0,303
1,0,2,50,0,6,0,12
0,1,1,37,0,0,0,0
0,1,0,27,0,0,0,303
2,0,2,29,0,633,584,0
1,0,2,28,0,172,0,8999
1,0,2,22,0,0,0,122
2,0,2,28,0,201,1121,0
2,0,2,28,0,1507,8017,0
0,0,2,14,0,98,0,251
0,0,2,28,0,0,406,298
0,1,1,20,0,0,0,0
2,0,2,19,0,1022,0,0
2,0,0,14,0,110,2768,68
0,1,2,69,0,0,0,0
1,0,2,26,0,0,0,886
1,0,0,25,0,0,0,1632
2,0,2,36,0,17,571,3
0,1,2,34,0,0,0,0
1,0,2,4,0,0,0,0
1,0,2,1,0,0,0,0
1,1,2,24,0,0,0,0
1,0,2,21,0,0,0,0
1,1,2,25,0,0,0,0
1,1,0,44,0,0,0,0
0,0,2,22,0,0,21,1038
2,1,2,64,0,0,0,0
1,0,2,32,0,6,0,2818
0,0,2,42,0,0,476,402
1,1,2,29,0,0,0,0
0,1,1,4,0,0,0,0
0,0,2,17,0,980,7,0
0,0,2,21,0,0,738,86
1,1,2,52,0,0,0,0
1,1,2,29,0,0,0,0
0,0,2,35,0,367,0,479
2,1,0,23,0,0,0,0
0,0,2,27,0,10,12,2
0,1,2,8,0,0,0,0
1,0,2,20,0,0,3,4976
1,1,0,16,0,0,0,0
0,0,2,35,0,0,9,40
2,0,2,44,0,684,605,0
0,0,2,19,0,0,1217,913
1,1,2,2,0,0,0,0
1,0,2,30,0,0,13,212
1,0,2,28,0,0,0,1301
0,1,2,44,0,0,0,0
0,0,2,20,0,2,177,0
0,1,2,22,0,0,0,0
0,0,2,14,0,0,0,0
0,0,2,20,0,0,56,0
0,0,2,45,0,0,202,271
0,0,0,19,0,0,0,394
2,0,2,42,0,247,27,707
0,0,2,23,0,690,10,0
0,0,2,43,0,0,0,6
2,0,2,20,0,532,747,10
2,1,2,11,0,0,0,0
2,0,2,20,0,477,0,0
0,1,2,21,0,0,0,0
0,0,2,17,0,1296,23,72
0,0,2,32,0,115,0,386
0,0,2,24,0,0,709,0
0,1,2,4,0,0,0,0
0,0,2,4,0,0,0,0
0,0,1,36,0,0,148,1220
2,0,2,27,0,157,2345,822
0,1,2,46,0,0,0,0
2,1,0,24,0,0,0,0
2,0,2,3,0,0,0,0
0,0,0,21,0,41,0,0
0,0,2,42,0,101,574,0
2,1,2,26,0,0,0,0
0,1,2,38,0,0,0,0
0,0,0,36,0,2,177,606
1,0,0,28,0,0,0,4764
1,1,2,62,0,0,0,0
0,0,2,22,0,9,796,5
0,0,2,18,0,234,298,317
