HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,ShoppingMall,Spa,Transported
0,1,1,19,0,0,0,0,1
0,1,2,32,0,0,0,0,1
0,0,2,58,0,0,0,5,1
0,0,0,21,0,287,16,115,0
1,0,2,38,0,0,1,14970,0
2,0,2,38,0,3414,161,28,0
0,0,2,19,0,1,673,2,1
0,0,2,0,0,0,0,0,0
0,0,2,3,0,0,0,0,1
0,0,2,20,0,0,3,299,0
1,1,2,24,0,0,0,0,1
0,0,2,37,0,17,426,0,1
0,0,2,25,0,62,0,0,0
0,1,2,56,0,0,0,0,1
0,0,0,49,0,84,401,202,0
0,1,0,11,0,0,0,0,0
0,1,2,1,0,0,0,0,1
0,0,2,8,0,0,0,0,0
0,0,2,39,0,0,10,898,0
2,1,2,2,0,0,0,0,1
2,0,2,23,0,224,8,1072,0
2,0,2,0,0,0,0,0,1
2,0,2,39,0,406,867,0,1
2,0,1,25,0,1052,719,0,0
1,0,2,36,0,0,0,795,0
0,0,1,52,0,0,0,0,1
0,1,2,18,0,0,0,0,0
0,1,2,15,0,0,0,0,1
1,1,2,35,0,0,0,0,1
1,1,2,47,0,0,0,0,1
1,1,0,45,0,0,0,0,1
1,0,0,28,0,0,173,878,1
1,1,2,51,0,0,0,0,1
0,0,2,29,0,0,66,0,0
1,0,0,28,0,2,12,1125,1
0,1,1,19,0,0,0,0,0
0,1,0,24,0,0,173,0,1
2,0,2,29,0,902,137,0,1
2,1,2,11,0,0,0,0,1
2,0,2,17,0,848,307,182,0
0,0,2,13,0,192,0,51,0
0,0,2,35,0,147,0,10,0
0,0,2,21,0,367,0,0,0
0,0,0,21,0,0,0,0,0
0,0,2,38,0,1517,0,27,0
0,1,2,19,0,0,0,0,1
0,1,2,2,0,0,0,0,1
0,0,2,0,0,0,0,0,1
0,1,2,13,0,0,0,0,0
0,0,2,25,0,122,173,0,0
0,0,2,16,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,1,2,15,0,0,0,0,1
2,0,0,21,0,2237,119,0,0
2,0,2,23,0,1215,1,2,0
2,0,2,33,0,1933,188,1,0
2,1,2,21,0,0,0,0,1
2,0,2,41,0,1230,301,43,0
2,0,2,16,0,915,221,234,0
2,1,2,42,0,0,0,0,0
2,0,2,20,0,1406,0,11,0
2,1,2,24,0,0,0,0,1
2,1,2,16,0,0,0,0,1
0,0,2,21,0,0,665,0,0
2,0,2,32,1,181,5,1634,0
0,1,1,58,0,0,0,0,1
0,0,2,24,0,4,0,713,0
2,0,2,30,0,85,1,1720,0
0,1,1,27,0,0,0,0,0
2,0,2,32,0,56,256,1438,0
0,0,2,43,0,224,0,0,0
1,1,2,42,0,0,0,0,1
2,0,2,37,0,637,0,92,0
2,1,2,35,0,0,0,0,1
1,0,0,33,0,0,0,4812,0
0,0,2,18,0,313,691,283,0
0,1,2,21,0,0,0,0,0
2,1,2,43,0,0,0,0,1
2,1,0,14,0,0,0,0,1
1,0,0,46,0,0,0,0,1
1,0,2,33,0,0,796,584,0
2,0,2,21,0,2947,287,27,0
1,0,2,33,0,0,0,8620,0
0,1,1,47,0,224,0,0,0
0,1,0,54,0,0,0,0,1
0,0,2,30,0,335,541,0,0
0,0,2,29,0,272,0,0,0
0,0,2,21,0,702,408,2,1
1,1,2,24,0,0,0,0,1
2,0,0,21,0,1664,173,0,0
2,1,2,60,0,0,0,0,1
0,0,2,22,0,0,313,299,0
1,0,2,26,0,0,0,981,0
0,0,2,26,0,66,0,0,0
0,1,2,28,0,0,0,0,1
1,1,2,39,0,0,0,311,1
0,0,2,13,0,118,0,754,0
0,0,0,47,0,0,592,0,1
0,0,2,63,0,0,128,0,0
1,1,0,28,0,0,0,0,1
0,0,0,50,0,44,0,53,1
0,0,2,35,0,0,0,888,0
0,0,2,45,0,0,0,14,0
0,0,2,19,0,0,2078,0,1
0,0,2,21,0,0,0,0,1
0,1,1,29,0,0,0,0,1
0,0,2,22,0,146,1,0,1
1,1,2,14,0,0,0,0,1
1,1,0,42,0,0,0,0,1
0,0,0,57,0,3,29,162,0
1,1,0,39,0,0,0,0,1
1,0,2,28,0,0,32,6,0
0,0,0,19,0,0,0,0,0
1,1,0,19,0,0,0,0,1
1,0,0,26,0,0,0,1157,1
1,1,2,17,0,0,0,0,1
1,0,2,43,0,0,0,0,1
1,0,0,9,0,0,0,0,1
1,0,2,40,0,0,88,1090,1
1,1,2,50,0,0,0,311,1
0,0,2,24,0,90,1324,17,1
1,1,0,57,0,0,0,0,1
0,1,2,16,0,0,0,0,0
0,0,2,23,0,0,15,0,0
0,1,2,23,0,0,0,0,1
1,0,2,28,0,0,0,1851,0
1,0,0,23,0,0,0,20,0
0,0,2,23,0,368,259,1,0
0,0,2,18,0,0,1359,0,1
0,0,2,18,0,1194,157,6,0
1,0,2,67,0,224,0,4476,0
0,0,1,60,0,7,1,0,1
0,1,0,28,0,0,173,0,1
0,0,0,49,0,331,0,318,1
0,0,0,0,0,0,0,0,1
0,0,0,26,0,386,74,0,0
0,1,1,35,0,0,0,0,1
1,0,2,24,0,0,173,170,1
1,1,2,20,0,0,0,0,1
0,0,2,18,0,0,0,311,0
0,0,2,21,0,0,3,0,0
0,0,2,59,1,1018,209,0,0
0,1,1,13,0,0,0,0,0
0,1,0,43,0,0,0,0,0
0,1,2,29,0,0,0,0,0
0,0,2,19,0,17,784,0,1
1,0,2,2,0,0,0,0,1
1,0,2,32,0,247,0,46,1
1,0,2,33,0,443,0,148,0
0,0,2,25,0,0,251,0,0
2,1,0,29,0,0,0,0,1
2,0,2,29,0,5715,211,1476,0
0,0,2,44,0,695,16,0,0
2,1,0,2,0,0,0,0,1
2,0,2,19,0,417,634,3,1
2,0,0,0,0,0,0,0,1
0,1,2,18,0,0,173,0,1
1,1,0,38,0,0,0,0,1
0,1,1,5,0,0,0,0,0
0,0,1,31,0,121,0,274,0
2,1,2,30,0,0,0,0,0
0,1,0,15,0,0,0,0,1
2,0,2,27,0,434,1434,0,0
2,0,2,22,0,142,202,3,1
2,0,2,36,0,520,1865,0,1
0,1,1,14,0,0,0,0,1
2,0,2,23,0,2001,2975,0,0
0,1,2,18,0,0,0,0,1
1,1,0,36,0,0,0,0,1
0,0,2,41,0,224,0,124,0
0,1,2,50,0,0,0,0,1
0,1,1,32,0,0,0,0,1
0,0,1,26,0,148,453,0,0
0,0,2,15,0,358,33,0,0
0,0,0,33,0,0,0,280,1
0,0,0,28,0,0,0,685,0
2,0,2,26,0,2832,4447,15,0
2,1,2,61,0,0,0,0,1
0,0,2,24,0,0,592,177,1
0,0,2,30,0,0,0,441,0
2,1,2,24,0,0,0,0,1
0,0,2,24,0,0,0,2766,0
0,1,2,41,0,0,0,0,0
0,0,2,20,0,0,558,0,0
0,0,2,22,0,116,786,6,1
1,0,0,63,0,0,0,176,0
1,0,0,18,0,17,4,5132,0
1,1,0,21,0,0,0,0,1
1,0,2,79,0,5649,7,2579,0
1,1,2,56,0,0,0,0,1
1,1,2,13,0,0,0,0,1
1,0,2,33,0,0,6,1173,0
1,1,2,32,0,0,0,0,1
0,0,2,31,0,198,591,0,1
1,1,0,26,0,0,0,0,1
1,1,0,18,0,0,0,0,1
1,1,0,38,0,0,173,0,1
0,0,2,23,0,348,0,4,0
0,0,2,28,0,82,0,3693,0
0,1,1,34,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,2,14,0,3,881,25,1
0,0,2,23,0,13,0,0,0
0,1,2,49,0,0,0,0,0
0,1,2,14,0,0,0,0,0
0,0,2,18,0,391,356,0,0
1,0,1,27,1,69,0,0,1
0,0,2,48,0,0,0,1508,0
1,0,0,31,1,0,552,8157,0
1,0,0,61,0,1,0,3835,0
0,1,2,18,0,0,0,0,1
2,1,2,45,0,0,0,0,1
2,0,2,22,0,28,36,6011,0
2,0,2,30,1,1056,0,0,0
2,0,2,30,0,1770,0,13,0
0,1,0,32,1,0,0,0,1
2,0,2,43,1,353,0,0,1
0,0,0,17,0,177,0,310,0
0,0,2,23,0,224,0,0,0
0,0,2,20,0,0,0,5,0
0,1,2,39,0,0,0,0,0
2,0,2,35,0,1134,52,0,0
2,0,2,31,0,0,1116,2,0
0,0,0,21,0,0,0,567,0
0,0,2,16,0,691,101,140,0
1,0,2,60,0,0,5952,1537,1
0,0,2,18,0,0,0,352,0
0,1,2,42,0,0,0,0,0
1,1,0,68,0,0,0,0,1
1,0,0,22,0,0,0,5467,0
1,1,2,59,0,0,0,0,1
1,0,2,28,0,8,0,13,1
2,0,2,37,0,1094,26,34,0
2,1,2,3,0,0,0,0,1
2,1,2,31,0,0,0,0,1
1,0,2,31,0,417,7185,562,1
1,0,2,29,0,0,0,715,1
1,0,0,20,0,2,0,2,1
1,1,0,46,0,0,0,0,1
0,0,2,29,0,0,0,16,1
2,1,2,43,0,0,0,0,1
2,0,2,17,0,1483,0,0,0
1,0,0,27,0,0,0,0,1
1,0,2,47,0,4,0,2962,0
2,1,2,45,0,0,0,0,1
0,1,2,17,0,0,0,0,1
0,0,0,10,0,0,0,0,1
0,0,1,56,0,46,0,622,0
0,0,2,39,0,382,22,467,0
0,0,1,40,0,7,840,26,0
1,1,2,40,0,224,0,0,1
1,0,0,34,0,224,45,1936,0
0,0,0,32,0,0,0,722,0
0,0,2,35,0,7,0,0,0
2,0,2,32,1,2484,102,0,0
0,0,2,26,1,1869,136,0,0
0,0,2,25,0,1352,0,24,0
0,0,2,26,0,0,0,77,0
1,1,0,22,0,0,0,0,1
0,0,2,22,0,9,795,0,1
0,0,2,24,0,757,0,32,0
0,1,1,32,0,0,0,0,1
0,1,2,11,0,0,0,0,1
2,1,2,22,0,0,0,0,1
1,1,2,19,0,0,0,0,1
1,1,0,34,0,0,0,0,1
1,1,2,74,0,0,0,0,1
1,0,0,28,1,5,0,745,1
1,1,2,42,0,0,0,0,1
1,1,2,43,0,0,0,0,1
0,0,2,55,0,210,188,59,0
0,0,1,19,0,0,747,26,1
0,1,2,6,0,0,0,0,0
0,0,2,7,0,0,0,0,0
1,1,0,28,0,0,0,0,1
0,0,2,15,0,2156,0,59,0
0,1,1,24,0,0,0,0,1
0,0,1,31,0,0,0,0,1
0,0,2,22,0,0,182,612,1
0,0,0,1,0,0,0,0,1
0,1,2,50,0,0,0,0,0
2,0,2,34,0,865,257,311,0
2,0,2,14,0,928,81,0,0
0,0,2,19,0,4,0,1178,0
0,0,2,28,0,0,22,146,1
0,0,2,36,0,0,863,1,0
0,1,2,34,0,0,0,0,0
2,1,0,25,0,0,0,0,1
0,1,2,36,0,0,0,0,1
1,0,2,16,0,0,2,5183,0
1,0,0,30,0,0,0,0,1
0,0,1,37,0,0,544,9,0
0,1,0,15,0,0,0,0,1
0,0,2,36,0,0,38,9,0
2,0,1,27,0,224,145,144,0
2,1,2,27,0,0,0,0,1
2,1,2,12,0,0,0,0,1
0,0,2,22,0,0,0,1619,0
0,0,2,27,0,224,23,0,0
0,1,2,13,0,0,0,0,1
0,0,2,27,0,0,0,5,0
0,0,2,28,0,0,0,0,0
1,0,0,21,0,0,0,3348,0
1,0,2,39,0,172,12,4303,0
0,1,1,28,0,0,173,0,0
0,1,2,14,0,0,0,0,1
1,1,0,27,0,0,0,0,1
1,1,0,46,0,0,0,311,1
2,1,0,27,0,0,0,0,1
2,0,2,21,0,0,0,0,0
2,0,0,21,0,513,1749,82,1
1,0,2,42,0,0,967,311,0
2,0,2,22,0,10,817,471,0
2,0,2,10,0,0,0,0,1
2,0,2,43,0,1821,47,29,0
2,0,2,42,0,1246,16,0,0
1,1,0,18,0,0,0,0,1
1,1,0,54,0,0,0,0,1
1,1,2,24,0,0,0,0,1
1,0,2,64,0,0,11,401,0
1,1,0,18,0,0,0,0,1
0,1,0,53,0,0,0,0,1
2,1,2,23,0,0,0,0,1
0,0,2,39,0,0,0,0,1
1,0,2,59,0,0,0,323,1
1,0,0,32,0,0,0,59,1
1,1,2,55,0,0,0,0,1
0,1,1,21,0,0,0,0,1
1,1,2,50,0,0,0,0,1
1,0,0,55,0,113,41,0,0
0,0,2,28,0,1445,1,2,0
0,1,2,35,0,0,0,0,1
0,1,2,28,0,0,0,0,1
0,0,2,55,0,62,0,0,0
0,0,2,23,0,39,0,0,1
0,0,2,42,0,0,750,0,0
0,0,2,35,0,553,1733,0,1
0,1,2,47,0,0,0,0,1
2,0,0,28,0,1172,3,0,0
2,1,2,34,0,0,0,0,1
1,0,2,46,0,0,0,3427,0
0,1,1,26,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,28,0,0,0,0,1
2,0,2,33,0,20,384,557,0
1,0,2,34,0,98,29,5732,0
1,0,2,49,0,3573,316,641,0
0,0,2,22,0,0,0,320,0
0,0,2,28,0,0,0,0,1
1,1,2,28,0,0,173,0,1
1,1,0,36,0,0,0,0,1
0,1,0,30,0,0,0,0,1
1,1,2,49,0,0,0,0,1
1,0,2,38,0,0,479,9,0
2,1,2,31,0,0,0,0,1
0,0,2,17,0,1471,0,45,0
0,0,2,26,0,9,0,0,0
0,0,2,23,0,59,0,681,0
0,0,0,24,0,930,838,0,0
0,0,2,23,0,0,831,16,0
0,0,2,24,0,0,704,0,1
2,0,1,32,0,666,0,252,1
2,1,2,43,0,0,0,0,1
0,0,2,23,0,13,0,762,1
0,0,2,42,0,126,266,445,0
1,1,0,29,0,0,0,0,1
1,1,2,40,0,0,0,0,1
1,0,2,37,0,0,0,764,1
1,1,0,61,0,0,0,0,1
1,0,2,33,0,0,1,2525,0
0,0,2,19,0,0,0,1,1
0,0,1,21,0,0,580,0,0
0,0,2,4,0,0,0,0,0
0,0,1,12,0,0,0,0,1
0,0,2,44,0,1440,74,32,1
0,0,2,22,0,0,332,442,0
2,0,0,33,0,840,402,21,0
1,1,0,32,0,0,0,0,1
1,1,2,28,0,0,0,0,1
1,0,2,28,0,0,2,1354,0
2,0,2,31,0,697,612,0,0
2,1,2,13,0,0,0,0,1
0,1,2,14,0,0,0,0,1
1,0,2,33,0,1908,0,1,0
1,1,0,28,0,0,0,0,1
0,0,2,23,0,0,310,0,1
1,0,2,36,1,530,1,146,1
1,1,0,22,0,0,0,0,1
1,1,2,19,0,0,0,0,0
1,1,2,42,0,0,0,0,1
1,1,2,30,0,0,0,0,1
1,1,0,16,0,0,0,0,1
1,0,2,55,0,0,0,1814,0
1,1,2,55,0,0,0,0,1
0,0,2,19,0,1911,21,854,0
0,0,2,28,0,14,25,54,0
1,1,2,18,0,0,0,0,1
0,0,2,21,0,0,625,110,0
0,0,2,65,0,0,521,105,0
0,0,2,55,0,53,37,0,1
0,0,2,50,0,224,0,0,0
0,1,2,49,0,0,0,0,1
0,0,2,22,0,0,601,183,0
2,1,2,33,0,0,0,0,1
2,1,2,3,0,0,0,0,1
2,1,2,0,0,0,0,0,1
2,1,2,33,0,0,0,0,1
2,1,2,48,0,0,0,0,1
2,1,2,5,0,0,0,0,1
2,0,2,23,0,2648,1092,0,0
1,1,2,53,0,0,0,0,1
2,0,2,18,0,5,616,0,0
0,1,1,20,0,0,0,0,0
0,0,2,23,0,234,551,0,0
0,0,2,48,0,801,0,1,0
0,1,1,19,0,0,0,0,0
2,0,2,28,0,43,182,1,0
0,0,0,9,0,0,0,0,0
0,0,2,24,0,224,0,670,0
2,0,2,46,0,21,2155,422,1
0,1,2,23,0,0,0,0,1
0,1,2,21,0,0,0,0,0
0,1,2,19,0,0,173,0,0
2,0,2,0,0,0,0,0,1
2,0,2,4,0,0,0,0,1
2,0,2,26,0,1252,46,124,0
2,1,2,9,0,0,0,0,1
1,0,2,24,0,0,826,9,1
2,1,2,24,0,0,0,0,1
2,0,2,25,0,0,0,0,0
2,1,2,21,0,0,0,0,1
0,0,2,21,0,0,12,0,0
1,0,2,37,0,27,10,881,0
1,0,0,44,0,434,19,311,0
1,0,2,43,0,4,118,1852,0
0,0,2,7,0,0,0,0,1
2,0,2,33,0,149,173,0,0
0,0,2,24,0,0,229,502,0
0,1,1,31,0,0,0,0,1
1,1,2,27,1,0,0,0,1
0,0,2,34,0,0,0,311,1
0,1,2,58,0,0,0,0,0
0,0,2,7,0,0,0,0,1
0,1,0,3,0,0,0,0,1
0,0,0,21,0,0,908,49,1
0,0,1,21,0,1,0,0,0
1,1,2,39,0,0,0,0,1
1,1,0,43,0,0,0,0,1
0,1,2,22,0,0,0,0,1
0,0,2,44,0,103,18,1197,1
0,0,2,38,0,0,0,1018,0
2,1,2,32,0,0,0,0,1
2,1,2,55,0,0,0,0,1
2,0,1,31,1,629,0,150,0
0,0,2,39,0,0,0,140,0
0,0,2,35,0,0,0,0,1
0,0,2,37,0,614,50,11,0
0,0,0,13,0,0,0,339,0
0,0,2,21,0,0,7,675,0
2,0,2,20,0,0,0,0,0
1,1,0,20,0,0,0,0,1
0,0,2,63,0,0,956,25,1
0,0,2,36,0,2,0,1958,0
1,0,0,29,0,0,0,118,1
1,0,0,36,0,0,82,1517,1
1,0,2,79,0,0,0,2210,0
1,1,0,30,0,0,0,0,1
1,1,0,30,0,0,0,0,1
2,0,2,19,0,1019,141,0,1
1,1,2,33,0,0,0,0,1
0,0,2,20,0,1724,0,1,0
1,1,0,38,0,0,0,0,1
2,1,2,7,0,0,0,0,1
2,1,2,58,0,0,0,0,1
2,0,2,33,0,105,1087,0,0
0,1,1,3,0,0,0,0,1
2,0,2,39,0,0,0,0,1
2,0,2,37,0,237,708,0,1
0,0,2,32,0,0,0,768,0
0,0,2,28,0,0,0,17,1
0,0,2,38,0,0,736,140,0
0,0,1,21,0,0,1,20,0
0,1,2,18,0,0,0,0,1
0,1,2,15,0,0,0,0,0
1,0,2,44,0,0,0,1360,0
0,0,2,44,0,86,16,49,1
1,0,2,36,0,0,0,4507,0
0,0,2,28,0,224,7104,0,1
2,0,2,15,0,1264,2,23,0
0,0,2,45,0,0,87,989,0
0,0,2,26,0,0,2,9,0
0,1,1,46,0,0,0,0,1
0,0,2,25,0,1,38,7,0
0,1,1,46,0,0,0,0,0
0,1,2,15,0,0,0,0,0
0,1,2,37,0,0,0,0,0
0,0,2,20,0,224,0,541,0
0,1,1,45,0,0,0,0,0
0,1,2,7,0,0,0,0,0
0,1,2,5,0,0,0,0,0
2,1,2,38,0,0,0,0,1
2,0,2,30,0,269,252,0,0
2,0,2,28,0,0,0,0,1
2,0,2,0,0,0,0,0,1
2,1,2,20,0,0,0,0,1
0,0,2,41,0,1,4,55,0
2,1,2,18,0,0,0,0,1
2,0,2,29,1,3887,173,12,0
2,0,2,19,0,3097,9,0,0
2,0,2,34,0,1973,97,41,0
1,1,2,36,0,0,0,0,1
2,1,2,54,0,0,0,0,1
2,0,2,19,0,164,783,0,0
2,0,2,21,0,505,1952,0,0
2,1,2,23,0,0,0,0,1
1,1,0,35,0,0,0,311,1
1,0,2,34,0,0,0,4343,0
0,0,2,22,0,0,226,74,1
0,0,0,24,0,21,689,12,1
2,1,2,18,0,0,0,0,1
2,0,0,24,0,2698,301,8,0
1,1,2,33,0,0,0,0,1
0,0,2,24,0,121,4,387,0
0,1,2,18,0,0,0,0,1
0,1,2,19,0,0,0,0,1
0,0,0,43,0,0,722,0,1
0,1,2,44,0,0,173,0,1
1,0,0,25,0,0,0,452,1
1,1,0,25,0,0,0,0,1
1,1,0,23,0,0,173,0,1
2,0,2,23,0,1695,0,31,0
2,0,2,20,0,457,170,1132,0
2,0,2,2,0,0,0,0,1
0,0,2,26,0,1577,0,30,0
0,1,1,38,0,0,0,0,1
0,0,2,1,0,0,0,0,0
0,0,2,12,0,0,173,0,1
0,1,1,2,0,0,0,0,0
0,1,1,25,0,0,0,0,0
0,1,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1
1,0,0,54,0,0,0,0,1
0,0,2,21,0,521,4,261,0
2,0,2,19,0,0,0,0,0
0,0,1,24,0,0,0,184,0
0,1,2,20,0,0,0,0,0
0,0,2,23,0,139,1,152,1
0,0,0,29,0,0,2,786,1
0,0,2,14,0,7,0,0,1
0,0,2,19,0,0,2,0,0
0,0,0,23,0,0,88,4,0
0,0,2,62,0,712,322,0,0
0,0,2,23,0,0,484,188,0
1,0,0,65,0,0,0,38,0
2,0,2,47,0,0,0,0,1
1,0,0,67,0,76,0,2247,0
1,1,0,14,0,0,0,0,1
1,0,2,41,0,3594,0,0,0
0,1,2,14,0,0,0,0,1
0,1,2,19,0,0,0,0,0
0,0,0,22,0,15,0,41,0
1,1,2,34,0,0,0,0,1
1,0,0,65,0,19,4,3190,0
1,1,0,42,0,0,0,0,1
1,1,0,22,0,0,0,0,1
1,1,0,54,0,0,0,0,1
1,0,2,34,0,47,0,4302,0
1,1,2,27,0,0,173,0,1
2,0,0,67,0,1,5,1022,0
1,0,2,33,0,0,0,48,1
0,1,1,30,0,0,0,0,0
0,0,2,22,0,0,0,0,0
2,0,1,35,0,1248,55,12,1
2,0,2,23,0,755,121,311,0
0,0,2,49,0,0,679,15,0
1,0,0,36,0,29,0,93,0
1,1,2,31,0,0,0,311,1
1,1,0,54,0,0,0,0,1
0,1,2,0,0,0,0,0,0
0,0,2,28,0,0,0,170,0
0,0,2,54,0,0,0,0,0
0,1,1,10,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,1,1,7,0,0,0,0,1
0,1,2,25,0,0,0,0,0
1,0,0,37,0,0,325,4476,0
1,1,0,15,0,0,0,0,1
0,1,2,26,0,0,0,0,1
1,0,0,7,0,0,0,0,1
0,0,2,30,0,558,0,175,0
0,0,2,19,0,0,1399,0,1
1,0,2,30,0,0,0,1018,0
0,0,2,21,0,562,0,0,0
0,0,1,21,0,14,0,3,0
2,1,2,59,0,0,0,0,1
1,1,0,28,0,0,0,0,1
0,0,2,32,0,713,2,0,0
0,1,2,19,0,0,0,0,1
0,1,2,7,0,0,0,0,0
0,0,0,16,0,797,0,0,0
1,0,2,31,1,0,4,2177,0
1,0,2,30,0,0,870,89,0
1,1,2,26,0,0,0,0,1
0,1,1,20,0,0,173,0,1
0,1,1,24,0,0,0,0,0
0,0,1,39,0,0,0,7,0
2,0,0,19,0,0,0,0,1
2,1,0,27,0,0,0,0,1
0,0,2,34,0,0,0,874,0
1,1,0,28,0,0,0,0,1
0,0,2,29,0,0,0,0,0
2,1,1,38,0,0,0,0,1
1,0,0,28,0,0,5,1590,0
2,1,2,1,0,0,0,0,1
